ID,nDissSteps,pKa,pKa_1,pKa_2,pKaType,pKaType_1,pKaType_2,ChargeA,ChargeA_1,ChargeA_2,ChargeA_3,ChargeB,ChargeB_1,ChargeB_2,ChargeB_3
1,3,2.53,3.61,16,1,-1,0,0,0,-1,-1,1,0,0,0
2,3,2.11,4.94,16,1,-1,0,0,0,-1,-1,1,0,0,0
3,3,0.52,15,16,1,0,0,0,0,0,0,1,0,0,0
4,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
5,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
6,3,0.78,15,16,1,0,0,0,0,0,0,1,0,0,0
7,3,14,15,16,0,0,0,0,0,0,0,1,1,1,1
8,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
9,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
10,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
11,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
12,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
13,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
14,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
15,3,0.23,15,16,1,0,0,0,0,0,0,2,1,1,1
16,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
17,3,4.65,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
18,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
19,3,4.3,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
20,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
21,3,4.78,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
22,3,3.26,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
23,3,3.3,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
24,3,3.32,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
25,3,1.67,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
26,3,1.87,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
27,3,1.87,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
28,3,3.12,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
29,3,2.76,4.7,16,-1,-1,0,0,-1,-2,-2,0,0,0,0
30,3,3.13,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
31,3,0.4,15,16,1,0,0,0,0,0,0,1,0,0,0
32,3,0.87,15,16,1,0,0,0,0,0,0,1,0,0,0
33,3,2.38,15,16,-1,0,0,0,-1,-1,-1,1,1,1,1
34,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
35,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
36,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
37,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
38,3,4.94,15,16,1,0,0,0,0,0,0,1,0,0,0
39,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
40,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
41,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
42,3,3.49,15,16,1,0,0,0,0,0,0,1,0,0,0
43,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
44,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
45,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
46,3,1.17,15,16,1,0,0,0,0,0,0,1,0,0,0
47,3,1.26,15,16,1,0,0,0,0,0,0,1,0,0,0
48,3,2.61,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
49,3,3.9,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
50,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
51,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
52,3,3.9,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
53,3,4.4,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
54,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
55,3,4.54,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
56,3,4.22,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
57,3,3.35,15,16,1,0,0,0,0,0,0,1,0,0,0
58,3,4.49,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
59,3,3.15,15,16,-1,0,0,0,-1,-1,-1,1,1,1,1
60,3,3.68,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
61,3,3.49,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
62,3,3.26,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
63,3,3.5,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
64,3,3.64,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
65,3,3.14,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
66,3,3.69,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
67,3,3.63,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
68,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
69,3,4.16,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
70,3,4.77,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
71,3,14,15,16,0,0,0,0,0,0,0,0,0,0,0
72,3,4.16,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
73,3,4.16,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
74,3,4.25,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
75,3,4.07,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
76,3,4.25,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
77,3,4.37,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
78,3,4.37,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
79,3,4.24,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
80,3,4.2,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
81,3,4.34,15,16,-1,0,0,0,-1,-1,-1,0,0,0,0
